BMID;Anlagen_ID;STATION;KUERZEL;LINIE
1;KP A04;Karlsplatz;KP;U1
2;AD A01;Alte Donau ;AD;U1
3;AD A02;Alte Donau ;AD;U1
4;AS A01;Alser Straße;AS;U6
5;AS A02;Alser Straße;AS;U6
15;BU A01;Burggasse;BU;U6
16;BU A02;Burggasse;BU;U6
17;ED A01;Erdberg;ED;U3
18;ED A02;Erdberg;ED;U3
19;ED A03;Erdberg;ED;U3
22;GU A01;Gumpendorfer Straße;GU;U6
23;GU A02;Gumpendorfer Straße;GU;U6
29;HZ A01;Herrengasse;HZ;U3
30;HZ A02;Herrengasse;HZ;U3
31;HZ A03;Herrengasse;HZ;U3
36;JS A01;Josefstädter Straße;JS;U6
37;JS A02;Josefstädter Straße;JS;U6
41;KM A01;Kaisermühlen;KM;U1
42;KM A02;Kaisermühlen;KM;U1
45;KN A01;Kardinal Nagl Platz;KN;U3
48;KP A03;Karlsplatz;KP;U1
80;VT A01;Volkstheater;VT;U3
81;VT A02;Volkstheater;VT;U3
82;VT A03;Volkstheater;VT;U3
83;VT A04;Volkstheater;VT;U3
84;VT A05;Volkstheater;VT;U3
85;VT A06;Volkstheater;VT;U3
97;SZ A04;Stephansplatz;SZ;U1
112;SP A01;Schwedenplatz;SP;U1
113;SP A02;Schwedenplatz;SP;U1
114;SP A03;Schwedenplatz;SP;U1
137;SZ A01;Stephansplatz;SZ;U1
138;SZ A02;Stephansplatz;SZ;U1
139;SZ A03;Stephansplatz;SZ;U1
146;RG A01;Rochusgasse;RG;U3
147;RG A02;Rochusgasse;RG;U3
158;SE A01;Stubentor;SE;U3
159;SE A02;Stubentor;SE;U3
160;SE A03;Stubentor;SE;U3
166;SG A01;Schlachthausgasse;SG;U3
167;SG A02;Schlachthausgasse;SG;U3
169;SL A01;Südtiroler Platz;SL;U1
170;SL A02;Südtiroler Platz;SL;U1
193;MB A01;Michelbeuern;MB;U6
194;MB A02;Michelbeuern;MB;U6
196;MH A01;Meidling Hauptstraße;MH;U4
199;NH A01;Niederhofstraße;NH;U6
200;NH A02;Niederhofstraße;NH;U6
209;NS A01;Nußdorfer Straße;NS;U6
210;NS A02;Nußdorfer Straße;NS;U6
211;PH A01;Philadelphiabrücke;PH;U6
212;PH A02;Philadelphiabrücke;PH;U6
239;LE A01;Längenfeldgasse;LE;U6
240;LE A02;Längenfeldgasse;LE;U6
262;LA A01;Landstraße;LA;U3
263;LA A02;Landstraße;LA;U3
264;LA A03;Landstraße;LA;U3
265;LA A04;Landstraße;LA;U3
266;LA A05;Landstraße;LA;U3
281;WA A01;Währinger Straße;WA;U6
282;WA A02;Währinger Straße;WA;U6
283;ZK A01;Kagran;ZK;U1
352;MA A01;Neubaugasse;MA;U3
353;MA A02;Neubaugasse;MA;U3
354;MA A03;Neubaugasse;MA;U3
355;MA A04;Neubaugasse;MA;U3
368;GZ A01;Zieglergasse;GZ;U3
369;GZ A02;Zieglergasse;GZ;U3
370;GZ A03;Zieglergasse;GZ;U3
371;GZ A04;Zieglergasse;GZ;U3
384;WS A01;Westbahnhof;WS;U3
385;WS A02;Westbahnhof;WS;U3
386;WS A03;Westbahnhof;WS;U3
387;WS A04;Westbahnhof;WS;U3
388;WS A05;Westbahnhof;WS;U3
389;WS A06;Westbahnhof;WS;U3
390;WS A07;Westbahnhof;WS;U3
393;WS A10;Westbahnhof;WS;U3
394;WS A11;Westbahnhof;WS;U3
395;WS A12;Westbahnhof;WS;U3
432;SH A01;Schweglerstraße;SH;U3
433;SH A02;Schweglerstraße;SH;U3
442;JO A01;Johnstraße;JO;U3
443;JO A02;Johnstraße;JO;U3
444;JO A03;Johnstraße;JO;U3
445;JO A04;Johnstraße;JO;U3
475;TE A01;Tscherttegasse;TE;U6
476;PW A01;Am Schöpfwerk;PW;U6
477;PW A02;Am Schöpfwerk;PW;U6
478;PF A01;Perfektastraße;PF;U6
479;PF A02;Perfektastraße;PF;U6
480;HT A02;Siebenhirten;HT;U6
481;HT A01;Siebenhirten;HT;U6
482;ES A01;Erlaaer Straße;ES;U6
483;ES A02;Erlaaer Straße;ES;U6
